Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Gold Coast Suns v Sydney Swans,18/03/2023,8:00 PM,18/03/2023,10:30 PM,False,Round 1,Metricon Stadium QLD,True
Sydney Swans v Hawthorn,26/03/2023,1:10 PM,26/03/2023,3:40 PM,False,Round 2,SCG NSW,True
Melbourne v Sydney Swans,02/04/2023,3:20 PM,02/04/2023,5:50 PM,False,Round 3,MCG VIC,True
Sydney Swans v Port Adelaide,08/04/2023,7:30 PM,08/04/2023,10:00 PM,False,Round 4,SCG NSW,True
Richmond v Sydney Swans,14/04/2023,8:10 PM,14/04/2023,10:40 PM,False,Round 5,Adelaide Oval SA,True
Geelong Cats v Sydney Swans,22/04/2023,7:25 PM,22/04/2023,9:55 PM,False,Round 6,GMHBA Stadium VIC,True
Sydney Swans v GWS Giants,29/04/2023,2:10 PM,29/04/2023,4:40 PM,False,Round 7,SCG NSW,True
Collingwood v Sydney Swans,07/05/2023,3:20 PM,07/05/2023,5:50 PM,False,Round 8,MCG VIC,True
Sydney Swans v Fremantle,13/05/2023,1:45 PM,13/05/2023,4:15 PM,False,Round 9,SCG NSW,True
North Melbourne v Sydney Swans,20/05/2023,1:45 PM,20/05/2023,4:15 PM,False,Round 10,Marvel Stadium VIC,True
Sydney Swans v Carlton,26/05/2023,7:50 PM,26/05/2023,10:20 PM,False,Round 11,SCG NSW,True
Sydney Swans v St Kilda,08/06/2023,7:20 PM,08/06/2023,9:50 PM,False,Round 13,SCG NSW,True
Brisbane Lions v Sydney Swans,16/06/2023,7:50 PM,16/06/2023,10:20 PM,False,Round 14,Gabba QLD,True
Sydney Swans v West Coast Eagles,24/06/2023,4:35 PM,24/06/2023,7:05 PM,False,Round 15,SCG NSW,True
